ID,Name,Age,Photo,Nationality,Flag,Overall,Potential,Club,Club Logo,Value,Wage,Special,Preferred Foot,International Reputation,Weak Foot,Skill Moves,Work Rate,Body Type,Real Face,Jersey Number,Contract Valid Until,Height,Weight,Crossing,Finishing,HeadingAccuracy,ShortPassing,Volleys,Dribbling,Curve,FKAccuracy,LongPassing,BallControl,Acceleration,SprintSpeed,Agility,Reactions,Balance,ShotPower,Jumping,Stamina,Strength,LongShots,Aggression,Interceptions,Positioning,Vision,Penalties,Composure,StandingTackle,SlidingTackle,GKDiving,GKHandling,GKKicking,GKPositioning,GKReflexes,Best Position,Best Overall Rating,Release Clause,DefensiveAwareness
248148,Zubimendi,22,https://cdn.sofifa.com/players/248/148/22_60.png,Spain,https://cdn.sofifa.com/flags/es.png,75,85,Real Sociedad,https://cdn.sofifa.com/teams/457/30.png,€12.5M,€24K,1939,Right,1,4,3,Medium/ Medium,Lean (170-185),No,3,2025,181cm,74kg,65,64,63,79,42,67,62,44,73,77,67,59,72,78,72,58,77,76,67,66,66,78,72,75,43,80,76,71,7,6,12,14,13,CDM,78,€28.8M,78
233738,Zubeldia,24,https://cdn.sofifa.com/players/233/738/22_60.png,Spain,https://cdn.sofifa.com/flags/es.png,79,84,Real Sociedad,https://cdn.sofifa.com/teams/457/30.png,€24M,€29K,2082,Right,1,3,2,Medium/ Medium,Normal (170-185),Yes,5,2024,181cm,73kg,65,67,73,81,47,70,73,65,79,78,60,74,70,81,74,75,79,83,78,68,86,81,65,74,51,73,80,79,6,8,9,10,13,CDM,82,€52.2M,80
208480,Zhou Dingyang,27,https://cdn.sofifa.com/players/208/480/22_60.png,Chinese Taipei,https://cdn.sofifa.com/flags/tw.png,69,70,Henan Songshan Longmen FC,https://cdn.sofifa.com/teams/111779/30.png,€1.6M,€7K,1949,Right,1,3,3,Medium/ Medium,Normal (170-185),No,8,2022,180cm,72kg,67,61,67,66,52,65,57,50,69,71,65,70,71,68,73,68,80,79,72,67,72,69,68,68,66,68,71,68,12,8,8,13,14,CM,71,€2.6M,74
200672,Zhang Linpeng,32,https://cdn.sofifa.com/players/200/672/22_60.png,China PR,https://cdn.sofifa.com/flags/cn.png,71,71,Guangzhou FC,https://cdn.sofifa.com/teams/111839/30.png,€1.3M,€14K,1879,Right,1,3,3,High/ High,Normal (185+),No,5,2023,185cm,80kg,65,49,71,68,34,67,50,44,64,68,72,74,72,65,71,77,80,79,85,58,83,65,63,64,38,68,67,68,8,8,9,14,10,RB,71,€2.1M,69
168621,Zeca,32,https://cdn.sofifa.com/players/168/621/22_60.png,Greece,https://cdn.sofifa.com/flags/gr.png,76,76,F.C. København,https://cdn.sofifa.com/teams/819/30.png,€5M,€20K,2006,Right,1,3,3,Medium/ High,Lean (170-185),No,10,2023,182cm,67kg,63,59,58,74,63,69,68,59,75,72,74,76,73,76,74,68,70,92,68,60,81,78,65,66,56,80,75,72,10,10,9,13,6,CDM,76,€6.5M,74
258615,Zarraga,22,https://cdn.sofifa.com/players/258/615/22_60.png,Spain,https://cdn.sofifa.com/flags/es.png,72,81,Athletic Club de Bilbao,https://cdn.sofifa.com/teams/448/30.png,€5M,€16K,1903,Right,1,3,3,High/ Medium,Normal (170-185),No,19,2023,175cm,76kg,60,70,59,76,48,76,65,52,73,75,81,76,78,68,78,58,73,75,71,71,52,65,67,70,49,66,71,45,12,8,6,11,15,CAM,75,€11.5M,49
183491,Zanka,31,https://cdn.sofifa.com/players/183/491/22_60.png,Denmark,https://cdn.sofifa.com/flags/dk.png,72,72,Brentford,https://cdn.sofifa.com/teams/1925/30.png,€1.6M,€29K,1654,Right,1,2,2,Medium/ Medium,Normal (185+),Yes,22,2022,191cm,85kg,47,34,71,65,40,46,35,26,62,60,53,52,60,67,59,62,72,67,83,30,84,70,43,62,27,67,75,70,16,9,9,14,13,CB,72,€3.2M,71
220132,Zaldúa,29,https://cdn.sofifa.com/players/220/132/22_60.png,Spain,https://cdn.sofifa.com/flags/es.png,77,77,Real Sociedad,https://cdn.sofifa.com/teams/457/30.png,€9.5M,€30K,1810,Right,1,3,2,High/ Medium,Normal (170-185),Yes,2,2023,176cm,69kg,78,25,77,78,23,60,62,41,58,72,69,68,63,73,71,48,81,80,71,40,82,76,49,50,32,67,78,74,7,15,14,11,11,RB,77,€20M,73
217235,Zainadine,33,https://cdn.sofifa.com/players/217/235/22_60.png,Mozambique,https://cdn.sofifa.com/flags/mz.png,75,75,Clube Sport Marítimo,https://cdn.sofifa.com/teams/1893/30.png,€2.7M,€10K,1867,Right,1,3,2,Medium/ High,Normal (170-185),No,5,2022,178cm,70kg,58,22,74,64,30,58,65,69,59,65,68,73,65,76,70,68,92,77,72,59,86,76,42,39,45,64,75,74,13,13,14,15,13,CB,75,€5.7M,78
203757,Zé Luís,30,https://cdn.sofifa.com/players/203/757/22_60.png,Cape Verde Islands,https://cdn.sofifa.com/flags/cv.png,77,77,FC Lokomotiv Moscow,https://cdn.sofifa.com/teams/100765/30.png,€10.5M,€51K,1888,Left,1,4,4,Medium/ Medium,Normal (170-185),Yes,29,2023,184cm,80kg,45,76,82,65,76,76,66,54,44,78,77,82,67,76,61,80,90,75,83,66,76,29,78,73,75,72,19,24,8,11,16,10,14,ST,77,€16.8M,36
